
 num     #instances         #bytes  class name
----------------------------------------------
   1:        465578       48432680  [C
   2:        238842       42015560  [B
   3:         63771       23317568  [I
   4:        438127       10515048  java.lang.String
   5:         72350        8068816  [Ljava.lang.Object;
   6:        177300        5673600  com.intellij.util.text.ByteArrayCharSequence
   7:        104012        4160480  com.intellij.openapi.vfs.impl.ArchiveHandler$EntryInfo
   8:         36916        4069368  java.lang.Class
   9:         81859        3274360  com.intellij.util.containers.hash.LinkedHashMap$Entry
  10:         97955        3134560  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
  11:         77492        2479744  java.util.HashMap$Node
  12:         60032        1921024  com.intellij.util.containers.IntObjectLinkedMap$MapEntry
  13:         58535        1404840  com.intellij.psi.stubs.StubIdList
  14:         33456        1338240  org.jdom.Attribute
  15:         15124        1330912  java.lang.reflect.Method
  16:          5346        1317824  [Lcom.intellij.openapi.vfs.impl.ArchiveHandler$EntryInfo;
  17:         11911        1259136  [Ljava.util.HashMap$Node;
  18:         30448        1217920  java.util.LinkedHashMap$Entry
  19:          7011        1123928  [J
  20:         46724        1121376  com.intellij.openapi.util.io.BufferExposingByteArrayOutputStream
  21:         13671        1093680  java.lang.reflect.Constructor
  22:         67418        1078688  java.lang.Integer
  23:         17767         994952  java.util.LinkedHashMap
  24:         29403         940896  java.util.concurrent.ConcurrentHashMap$Node
  25:         12573         905256  java.lang.reflect.Field
  26:           657         749056  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  27:         15232         609280  org.jdom.ContentList
  28:         15232         609280  org.jdom.Element
  29:         12018         576864  gnu.trove.THashMap
  30:         14216         568640  com.intellij.psi.impl.source.tree.java.PsiJavaTokenImpl
  31:         17308         553856  com.intellij.util.indexing.impl.ChangeTrackingValueContainer
  32:         25053         537704  [Ljava.lang.Class;
  33:         16593         530976  java.io.File
  34:          8250         528000  java.net.URL
  35:             2         524320  [Lcom.jetbrains.sourceglider.relations.incremental.RelationsCache$KeyEntry;
  36:         12918         516720  org.jetbrains.plugins.gradle.model.DefaultExternalTask
  37:         21152         507648  java.util.ArrayList
  38:         11440         457600  com.intellij.openapi.vfs.newvfs.impl.VirtualDirectoryImpl
  39:          7906         442736  java.lang.Class$ReflectionData
  40:         12014         439680  [Lorg.jdom.Attribute;
  41:         10911         436440  java.lang.ref.SoftReference
  42:         17308         415392  com.intellij.util.indexing.impl.MapIndexStorage$3$1
  43:         17308         415392  com.intellij.util.indexing.impl.ValueContainerImpl
  44:         12906         412992  org.jdom.AttributeList
  45:         12451         398432  java.util.Hashtable$Entry
  46:          7015         392840  com.intellij.psi.impl.source.tree.java.PsiReferenceParameterListImpl
  47:            33         388624  [Lcom.intellij.util.containers.IntObjectLinkedMap$MapEntry;
  48:          4858         349776  com.intellij.psi.impl.source.tree.java.PsiReferenceExpressionImpl
